_id.courseId,_id.sectionId,_id.unitId,_id.user,_id.subtitle
26,1,1,1182,English
26,1,1,120,English
26,1,1,12186,English
26,1,1,13639,English
26,1,1,1374,English
26,1,1,13836,English
26,1,1,14015,English
26,1,1,14827,English
26,1,1,15347,English
26,1,1,15971,English
26,1,1,15980,English
26,1,1,16102,English
26,1,1,17784,English
26,1,1,1921,English
26,1,1,1983,English
26,1,1,2,English
26,1,1,2909,English
26,1,1,31,English
26,1,1,318,English
26,1,1,4785,English
26,1,1,5199,English
26,1,1,9158,English
26,1,1,1,subtitlesOff
26,1,1,120,subtitlesOff
26,1,1,12267,subtitlesOff
26,1,1,1374,subtitlesOff
26,2,1,1182,English
26,2,1,13639,English
26,2,1,14015,English
26,2,1,14827,English
26,2,1,15347,English
26,2,1,15971,English
26,2,1,15980,English
26,2,1,16102,English
26,2,1,17784,English
26,2,1,1921,English
26,2,1,1983,English
26,2,1,2,English
26,2,1,2909,English
26,2,1,318,English
26,2,1,4785,English
26,2,1,5199,English
26,2,1,1374,subtitlesOff
26,2,5,1182,English
26,2,5,1374,English
26,2,5,14015,English
26,2,5,14827,English
26,2,5,15347,English
26,2,5,15980,English
26,2,5,16102,English
26,2,5,17784,English
26,2,5,1921,English
26,2,5,1983,English
26,2,5,2,English
26,2,5,2909,English
26,2,5,318,English
26,2,5,4785,English
26,2,5,5199,English
26,2,5,12267,subtitlesOff
26,2,5,1374,subtitlesOff
26,2,9,14015,English
26,2,9,14827,English
26,2,9,15347,English
26,2,9,15971,English
26,2,9,15980,English
26,2,9,16102,English
26,2,9,17784,English
26,2,9,1921,English
26,2,9,1983,English
26,2,9,2,English
26,2,9,318,English
26,2,9,5199,English
26,2,9,1374,subtitlesOff
26,3,1,14015,English
26,3,1,14827,English
26,3,1,1502,English
26,3,1,15347,English
26,3,1,15980,English
26,3,1,16102,English
26,3,1,17784,English
26,3,1,1921,English
26,3,1,1983,English
26,3,1,2,English
26,3,1,318,English
26,3,1,5199,English
26,3,1,1374,subtitlesOff
26,4,1,12186,English
26,4,1,14015,English
26,4,1,14827,English
26,4,1,15347,English
26,4,1,15971,English
26,4,1,15980,English
26,4,1,16102,English
26,4,1,17784,English
26,4,1,1921,English
26,4,1,1983,English
26,4,1,2,English
26,4,1,2909,English
26,4,1,318,English
26,4,1,5199,English
26,4,1,1374,subtitlesOff
26,4,12,14015,English
26,4,12,14827,English
26,4,12,15347,English
26,4,12,15971,English
26,4,12,15980,English
26,4,12,16102,English
26,4,12,1983,English
26,4,12,2909,English
26,4,12,318,English
26,4,12,5199,English
26,4,12,1374,subtitlesOff
26,4,15,14015,English
26,4,15,15347,English
26,4,15,15971,English
26,4,15,15980,English
26,4,15,16102,English
26,4,15,1983,English
26,4,15,2909,English
26,4,15,318,English
26,4,15,5199,English
26,4,15,1374,subtitlesOff
26,4,2,14015,English
26,4,2,14827,English
26,4,2,15347,English
26,4,2,15971,English
26,4,2,15980,English
26,4,2,16102,English
26,4,2,17784,English
26,4,2,1921,English
26,4,2,1983,English
26,4,2,2,English
26,4,2,318,English
26,4,2,5199,English
26,4,2,1374,subtitlesOff
26,4,8,14015,English
26,4,8,14827,English
26,4,8,15347,English
26,4,8,15971,English
26,4,8,15980,English
26,4,8,16102,English
26,4,8,17784,English
26,4,8,1983,English
26,4,8,2,English
26,4,8,2909,English
26,4,8,318,English
26,4,8,5199,English
26,4,8,1374,subtitlesOff
26,6,1,14015,English
26,6,1,15347,English
26,6,1,15971,English
26,6,1,15980,English
26,6,1,16102,English
26,6,1,5199,English
26,6,1,1374,subtitlesOff
28,1,1,10363,English
28,1,1,10422,English
28,1,1,1079,English
28,1,1,11094,English
28,1,1,11417,English
28,1,1,11421,English
28,1,1,11464,English
28,1,1,11537,English
28,1,1,11614,English
28,1,1,11822,English
28,1,1,12,English
28,1,1,12150,English
28,1,1,12333,English
28,1,1,12334,English
28,1,1,12445,English
28,1,1,12615,English
28,1,1,12675,English
28,1,1,12951,English
28,1,1,13022,English
28,1,1,13053,English
28,1,1,13137,English
28,1,1,13147,English
28,1,1,13242,English
28,1,1,13350,English
28,1,1,13357,English
28,1,1,13361,English
28,1,1,1338,English
28,1,1,13506,English
28,1,1,13566,English
28,1,1,13578,English
28,1,1,13627,English
28,1,1,13631,English
28,1,1,13669,English
28,1,1,13674,English
28,1,1,13685,English
28,1,1,13706,English
28,1,1,1374,English
28,1,1,13749,English
28,1,1,13759,English
28,1,1,13765,English
28,1,1,13770,English
28,1,1,13792,English
28,1,1,13793,English
28,1,1,13813,English
28,1,1,13814,English
28,1,1,13855,English
28,1,1,13889,English
28,1,1,13891,English
28,1,1,13902,English
28,1,1,13930,English
28,1,1,13980,English
28,1,1,1399,English
28,1,1,13997,English
28,1,1,14000,English
28,1,1,14002,English
28,1,1,14015,English
28,1,1,1403,English
28,1,1,14046,English
28,1,1,14061,English
28,1,1,14072,English
28,1,1,14086,English
28,1,1,14090,English
28,1,1,14108,English
28,1,1,14115,English
28,1,1,14135,English
28,1,1,14136,English
28,1,1,14163,English
28,1,1,14190,English
28,1,1,14219,English
28,1,1,1425,English
28,1,1,14265,English
28,1,1,14280,English
28,1,1,14282,English
28,1,1,14293,English
28,1,1,14344,English
28,1,1,14373,English
28,1,1,14376,English
28,1,1,14378,English
28,1,1,14381,English
28,1,1,14411,English
28,1,1,14417,English
28,1,1,14419,English
28,1,1,14424,English
28,1,1,14429,English
28,1,1,14447,English
28,1,1,14459,English
28,1,1,14473,English
28,1,1,14475,English
28,1,1,14489,English
28,1,1,14499,English
28,1,1,14513,English
28,1,1,14515,English
28,1,1,14525,English
28,1,1,14534,English
28,1,1,14535,English
28,1,1,14540,English
28,1,1,14541,English
28,1,1,14547,English
28,1,1,14551,English
28,1,1,14564,English
28,1,1,14565,English
28,1,1,14567,English
28,1,1,14595,English
28,1,1,14599,English
28,1,1,14616,English
28,1,1,14619,English
28,1,1,14627,English
28,1,1,14633,English
28,1,1,14650,English
28,1,1,14666,English
28,1,1,14689,English
28,1,1,14693,English
28,1,1,14696,English
28,1,1,14697,English
28,1,1,14707,English
28,1,1,14709,English
28,1,1,14710,English
28,1,1,14716,English
28,1,1,14726,English
28,1,1,14778,English
28,1,1,14804,English
28,1,1,14818,English
28,1,1,14819,English
28,1,1,14821,English
28,1,1,14824,English
28,1,1,14841,English
28,1,1,14854,English
28,1,1,14868,English
28,1,1,14880,English
28,1,1,14892,English
28,1,1,14897,English
28,1,1,14905,English
28,1,1,14913,English
28,1,1,14923,English
28,1,1,14929,English
28,1,1,14932,English
28,1,1,14936,English
28,1,1,14975,English
28,1,1,14977,English
28,1,1,14979,English
28,1,1,14989,English
28,1,1,14993,English
28,1,1,14996,English
28,1,1,15000,English
28,1,1,15002,English
28,1,1,15026,English
28,1,1,15059,English
28,1,1,15062,English
28,1,1,15067,English
28,1,1,15083,English
28,1,1,15109,English
28,1,1,15123,English
28,1,1,15124,English
28,1,1,15126,English
28,1,1,15160,English
28,1,1,15169,English
28,1,1,15211,English
28,1,1,15219,English
28,1,1,15231,English
28,1,1,15247,English
28,1,1,15250,English
28,1,1,15264,English
28,1,1,15294,English
28,1,1,15297,English
28,1,1,15302,English
28,1,1,15308,English
28,1,1,15311,English
28,1,1,15316,English
